city,shape,latitude,longitude,date,province,duration,disp_lat,disp_long
Halifax,Light,44.65,-63.6,2005-03-04,NS,180,44.67946444351225,-63.632625375557666
Woodstock,Triangular,43.133333,-80.75,2005-03-04,ON,600,43.13417656756881,-80.7178871093132
Scarborough,Fireball,43.75,-79.2,2005-03-04,ON,8,43.789760116301466,-79.17609056163582
Toronto,Disk/Circle,43.666667,-79.416667,2014-03-04,NA,300,43.69437669001575,-79.38367646047905
Scarborough,Fireball,43.75,-79.2,2005-03-05,ON,8,43.77077694317325,-79.19695585977287
Calgary,Spherical,51.083333,-114.083333,2005-03-05,AB,120,51.08230588348526,-114.08112456113044
Toronto,Fireball,43.666667,-79.416667,2008-03-05,ON,20,43.6677676122455,-79.40183563217579
Summerland,Triangular,49.6,-119.666667,2009-03-05,BC,300,49.61580779019743,-119.63142517566742
Guelph,Light,43.55,-80.25,2013-03-05,ON,300,43.57228264896198,-80.25136378513649
Edmonton,Square/Rectangular,53.55,-113.5,2013-03-05,AB,120,53.57012473881244,-113.5395270054042
Milton,Light,46.3,-63.216667,2013-03-05,ON,120,46.26338494041935,-63.207624100093376
Rothesay,Fireball,45.383333,-66,2014-03-05,NB,3,45.4155292204203,-66.00838591543958
